DateKey,Date,Year,Quarter,Month,Day,DayOfWeek,DayName,IsWeekend
20180101,01-01-2018,2018,1,1,1,1,Monday,0
20180102,02-01-2018,2018,1,1,2,2,Tuesday,0
20180103,03-01-2018,2018,1,1,3,3,Wednesday,0
20180104,04-01-2018,2018,1,1,4,4,Thursday,0
20180105,05-01-2018,2018,1,1,5,5,Friday,0
20180106,06-01-2018,2018,1,1,6,6,Saturday,1
20180107,07-01-2018,2018,1,1,7,7,Sunday,1
20180108,08-01-2018,2018,1,1,8,1,Monday,0
20180109,09-01-2018,2018,1,1,9,2,Tuesday,0
20180110,10-01-2018,2018,1,1,10,3,Wednesday,0
20180111,11-01-2018,2018,1,1,11,4,Thursday,0
20180112,12-01-2018,2018,1,1,12,5,Friday,0
20180113,13-01-2018,2018,1,1,13,6,Saturday,1
20180114,14-01-2018,2018,1,1,14,7,Sunday,1
20180115,15-01-2018,2018,1,1,15,1,Monday,0
20180116,16-01-2018,2018,1,1,16,2,Tuesday,0
20180117,17-01-2018,2018,1,1,17,3,Wednesday,0
20180118,18-01-2018,2018,1,1,18,4,Thursday,0
20180119,19-01-2018,2018,1,1,19,5,Friday,0
20180120,20-01-2018,2018,1,1,20,6,Saturday,1
20180121,21-01-2018,2018,1,1,21,7,Sunday,1
20180122,22-01-2018,2018,1,1,22,1,Monday,0
20180123,23-01-2018,2018,1,1,23,2,Tuesday,0
20180124,24-01-2018,2018,1,1,24,3,Wednesday,0
20180125,25-01-2018,2018,1,1,25,4,Thursday,0
20180126,26-01-2018,2018,1,1,26,5,Friday,0
20180127,27-01-2018,2018,1,1,27,6,Saturday,1
20180128,28-01-2018,2018,1,1,28,7,Sunday,1
20180129,29-01-2018,2018,1,1,29,1,Monday,0
20180130,30-01-2018,2018,1,1,30,2,Tuesday,0
20180131,31-01-2018,2018,1,1,31,3,Wednesday,0
20180201,01-02-2018,2018,1,2,1,4,Thursday,0
20180202,02-02-2018,2018,1,2,2,5,Friday,0
20180203,03-02-2018,2018,1,2,3,6,Saturday,1
20180204,04-02-2018,2018,1,2,4,7,Sunday,1
20180205,05-02-2018,2018,1,2,5,1,Monday,0
20180206,06-02-2018,2018,1,2,6,2,Tuesday,0
20180207,07-02-2018,2018,1,2,7,3,Wednesday,0
20180208,08-02-2018,2018,1,2,8,4,Thursday,0
20180209,09-02-2018,2018,1,2,9,5,Friday,0
20180210,10-02-2018,2018,1,2,10,6,Saturday,1
20180211,11-02-2018,2018,1,2,11,7,Sunday,1
20180212,12-02-2018,2018,1,2,12,1,Monday,0
20180213,13-02-2018,2018,1,2,13,2,Tuesday,0
20180214,14-02-2018,2018,1,2,14,3,Wednesday,0
20180215,15-02-2018,2018,1,2,15,4,Thursday,0
20180216,16-02-2018,2018,1,2,16,5,Friday,0
20180217,17-02-2018,2018,1,2,17,6,Saturday,1
20180218,18-02-2018,2018,1,2,18,7,Sunday,1
20180219,19-02-2018,2018,1,2,19,1,Monday,0
20180220,20-02-2018,2018,1,2,20,2,Tuesday,0
20180221,21-02-2018,2018,1,2,21,3,Wednesday,0
20180222,22-02-2018,2018,1,2,22,4,Thursday,0
20180223,23-02-2018,2018,1,2,23,5,Friday,0
20180224,24-02-2018,2018,1,2,24,6,Saturday,1
20180225,25-02-2018,2018,1,2,25,7,Sunday,1
20180226,26-02-2018,2018,1,2,26,1,Monday,0
20180227,27-02-2018,2018,1,2,27,2,Tuesday,0
20180228,28-02-2018,2018,1,2,28,3,Wednesday,0
20180301,01-03-2018,2018,1,3,1,4,Thursday,0
20180302,02-03-2018,2018,1,3,2,5,Friday,0
20180303,03-03-2018,2018,1,3,3,6,Saturday,1
20180304,04-03-2018,2018,1,3,4,7,Sunday,1
20180305,05-03-2018,2018,1,3,5,1,Monday,0
20180306,06-03-2018,2018,1,3,6,2,Tuesday,0
20180307,07-03-2018,2018,1,3,7,3,Wednesday,0
20180308,08-03-2018,2018,1,3,8,4,Thursday,0
20180309,09-03-2018,2018,1,3,9,5,Friday,0
20180310,10-03-2018,2018,1,3,10,6,Saturday,1
20180311,11-03-2018,2018,1,3,11,7,Sunday,1
20180312,12-03-2018,2018,1,3,12,1,Monday,0
20180313,13-03-2018,2018,1,3,13,2,Tuesday,0
20180314,14-03-2018,2018,1,3,14,3,Wednesday,0
20180315,15-03-2018,2018,1,3,15,4,Thursday,0
20180316,16-03-2018,2018,1,3,16,5,Friday,0
20180317,17-03-2018,2018,1,3,17,6,Saturday,1
20180318,18-03-2018,2018,1,3,18,7,Sunday,1
20180319,19-03-2018,2018,1,3,19,1,Monday,0
20180320,20-03-2018,2018,1,3,20,2,Tuesday,0
20180321,21-03-2018,2018,1,3,21,3,Wednesday,0
20180322,22-03-2018,2018,1,3,22,4,Thursday,0
20180323,23-03-2018,2018,1,3,23,5,Friday,0
20180324,24-03-2018,2018,1,3,24,6,Saturday,1
20180325,25-03-2018,2018,1,3,25,7,Sunday,1
20180326,26-03-2018,2018,1,3,26,1,Monday,0
20180327,27-03-2018,2018,1,3,27,2,Tuesday,0
20180328,28-03-2018,2018,1,3,28,3,Wednesday,0
20180329,29-03-2018,2018,1,3,29,4,Thursday,0
20180330,30-03-2018,2018,1,3,30,5,Friday,0
20180331,31-03-2018,2018,1,3,31,6,Saturday,1
20180401,01-04-2018,2018,2,4,1,7,Sunday,1
20180402,02-04-2018,2018,2,4,2,1,Monday,0
20180403,03-04-2018,2018,2,4,3,2,Tuesday,0
20180404,04-04-2018,2018,2,4,4,3,Wednesday,0
20180405,05-04-2018,2018,2,4,5,4,Thursday,0
20180406,06-04-2018,2018,2,4,6,5,Friday,0
20180407,07-04-2018,2018,2,4,7,6,Saturday,1
20180408,08-04-2018,2018,2,4,8,7,Sunday,1
20180409,09-04-2018,2018,2,4,9,1,Monday,0
20180410,10-04-2018,2018,2,4,10,2,Tuesday,0
